source,target,weight
ENO1,DRAXIN,7.0453315129460865
ID3,LPAR3,7.04260256328413
ENO1,LINC01357,7.042420270390286
JUN,NFIA,7.041175830789186
GMEB1,CLCA4-AS1,7.034834799789888
JUN,RBP7,7.029797623922726
MTF1,CEPT1,7.029288617806368
NFYC,NFIA,7.016964562333048
JUN,CCDC17,7.016591735642942
JUN,TSSK3,7.0162242281387455
HES4,TNFRSF1B,7.0159212409156195
FUBP1,MAGI3,6.997675715415941
ENO1,RIMKLA,6.995795924470066
ID3,CYB5RL,6.990613692073328
FUBP1,VTCN1,6.989863430197546
JUN,GBP7,6.979492791435067
MTF1,DNAJC11,6.9674484048313765
YBX1,CPLANE2,6.952395423722859
ENO1,ORC1,6.94773148560074
E2F2,NASP,6.945877087921983
TFAP2E,MATN1,6.937241730941797
TFAP2E,LRRC42,6.9194062615497645
ENO1,SPSB1,6.914804799002688
TAL1,ARHGEF19,6.913610305831297
JUN,A3GALT2,6.908383883300513
JUN,SHISAL2A,6.905415859137825
E2F2,LZIC,6.899317374902955
TP73,ATAD3C,6.88240414036674
JUN,CYP4A22-AS1,6.8784398675385745
ENO1,CAPZB,6.877580096656279
JUN,DENND2D,6.873515373188186
MTF1,GNAT2,6.8721699217929615
JUN,AGO1,6.871141960582742
GMEB1,SLC25A34,6.847379178033712
MTF1,TNFRSF1B,6.843968928921003
MTF1,GBP2,6.838931944959214
TFAP2E,DBT,6.837173883667694
JUN,STXBP3,6.82124753060844
YBX1,LINC01562,6.8177819829794695
ZNF683,BMP8B,6.810829429284963
RUNX3,KCNA3,6.80954109794273
ZNF684,TMEM269,6.808229425531105
YBX1,HYI,6.8048536382221245
E2F2,TM2D1,6.802641294215226
ENO1,OMA1,6.789605000615461
E2F2,LPAR3,6.78382095046155
ENO1,DNTTIP2,6.7778538583393315
JUN,LCK,6.772041957938604
FOXJ3,LINC02795,6.752697252022576
ENO1,RPS8,6.749473376799079
JUN,RERE-AS1,6.746286465589467
FOXJ3,ABCA4,6.745069781554973
FOXJ3,CSMD2,6.726463934036819
JUN,ZFYVE9,6.71001443034435
FUBP1,TNFRSF9,6.703447080931571
JUN,SLC30A7,6.703388657487569
FOXJ3,NGF-AS1,6.702300663658582
MTF1,AGO4,6.6853899484969
ENO1,AKR7A2,6.685121714596196
JUN,RAP1GAP,6.683359980317183
JUN,SLC25A33,6.6831173472907635
ENO1,GPR157,6.67776644597958
ENO1,PSMA5,6.677557200283052
GFI1,AMIGO1,6.667870833141339
FUBP1,PER3,6.658008986797238
ENO1,SCP2,6.651352996981242
YBX1,GPR153,6.650969174938716
JUN,RSRP1,6.641756564862786
FOXJ3,PLEKHG5,6.639057747607409
ENO1,FOXO6,6.635579695620592
JUN,LINC01748,6.631862672966476
GMEB1,GNG12,6.630394717408163
FUBP1,FNDC10,6.625786338842032
JUN,CENPS,6.611197427265886
RUNX3,LINC01676,6.603478255760234
ENO1,CAP1,6.595202706056029
ENO1,PSMB2,6.594124557767279
YBX1,MMP23B,6.587971734667074
ENO1,PARK7,6.583957191080023
ENO1,TRNAU1AP,6.573623825736519
