"","SAMd027124354ce","SAMbf1a3ae828e6","SAM2e9ac0b1b250","SAM30b5c6c54cf7","SAMd35318127278","SAM560f23d6a3ad","SAM73663ee4a96e","SAMc2a1820d4e6b","SAMe1eb5d988760","SAM8a1b0e02ee42","SAMd7d57ee3a863","SAM065890737112","SAMb470eb8f04be","SAM203dcf14f927","SAMd3bd67996035","SAMd3601288319e","SAM670649e105b5","SAM3b15b4c6311d","SAMeaa477a5384b","SAM25510f300d79","SAM771445e92421","SAM6f2a102a99df","SAM6ff654a20f98","SAM31d9176e11fb","SAM572f19794c96"
"BMAL1",1.36955668031762,1.55549113704907,0.754663280958672,1.27587492711053,1.25521395216577,1.07737320081373,1.06502643015089,1.72097204951676,1.20902538222729,0.139204347122521,0.955821788820255,0.816986237749836,1.1101023092727,0.440844489229806,1.21908505178253,1.1713256904971,1.62657048233743,0.75556909052401,0.915183075202362,1.21910627743979,1.44753040350093,0.700289655512019,1.30305290605224,0.585779806356002,1.17150026168502
"BMAL2",0.35970090284773,1.47797837715854,0.920110226712262,1.40819162897256,0.999156619947336,0.79364607113089,0.896731222006486,1.90832923716036,1.33932628571563,-0.174227023788491,1.31826698599766,0.454384149433774,0.785127395368052,0.623199809134279,0.915587354225468,1.02536485827785,1.72439308793244,0.905827007217176,0.75886755730527,0.793723589223607,1.48494746120367,0.989934859134526,1.07028768081879,0.8232896877883,1.35772277188752
"BRCA1",2.49379123054711,2.66386717297235,1.77681971339179,2.50388320689082,3.07812579744681,2.08290571448439,2.88363015974061,3.15350139561487,2.83714265614921,1.69075142607889,2.88655699600955,2.45471189163419,3.68597989909859,2.29811098865353,2.60777057737497,2.03030860844597,2.71975946849203,2.83091725818778,3.19745136466179,2.3609633955677,3.33063835167331,2.74497641740591,2.23339681994905,2.63966980764166,2.37980664770347
"BRD4",0.994324362687955,1.030319505058,1.66670180199278,1.30399009550517,0.676005342583627,1.06483223526834,1.3176507431031,1.34340550975534,0.892423986112186,1.04109621441176,1.30043848051336,1.28082432129691,1.13739079594312,1.10969980788672,1.44605454618758,1.29843606627506,1.47374580362367,1.12604352453716,1.12705363844042,1.42710034823357,1.07710690438792,1.1709848342705,1.17126774617022,1.23335293255914,1.44374065951084
"BTG2",1.6741322472175,1.7052902315387,1.96680936709529,1.10664079326313,1.44824139681216,1.7158403737266,1.31299426270715,1.43816544699067,1.30854122731124,1.60334013917672,1.7924675203953,1.63345023005738,1.24418025160637,1.90671796785482,2.21432393328331,1.46114160099133,1.14246238228873,1.77452528980122,1.15394751675385,2.23094131436897,1.16636014222143,1.68945242763151,1.39740663338178,1.12404028443778,1.31305356003224
"CAMTA1",0.889445119873904,0.782673957542722,1.49979245057843,0.874275862775076,0.630574331469406,0.797445518670556,0.993740348098208,0.570351319099738,0.756693906933528,0.904182268484942,1.00650550623365,0.84030344383381,0.675931090089059,0.838701023457888,0.679320172405347,1.0215048358877,1.00738124717499,0.939127422387683,0.79162573165575,1.01126155608534,0.728924638784611,0.945740356958399,0.459118792857768,0.953174448685663,0.798048350499394
"CDX1",-3.56214918280088,-2.81104412166159,-2.88728065325578,-3.61566198718779,-3.03040888532001,-2.51812895458883,-2.91960033009378,-2.89356699239335,-2.7303696877076,-3.00478445198353,-3.53005543849077,-2.65850135662392,-2.59174174954686,-3.04336998002869,-2.71051693535831,-2.38979434336373,-3.02067483575914,-2.50275334853313,-2.68353481564098,-3.09243193623427,-2.15441251152329,-3.31111971691036,-2.93822937112281,-2.58966676391448,-2.78273913172453
"CDX2",-4.57001966881917,-3.93776544737525,-3.46027303829406,-3.65790632859303,-3.01627408439425,-1.83217296840201,-3.66839504415846,-3.31201726141341,-3.39997420373008,-3.27209374651068,-4.396764396751,-2.96965937080406,-2.84800886299208,-3.1577946234267,-3.37934382365528,-3.53817952233803,-3.54915802565866,-3.12740476505193,-2.63300874083803,-2.80338027537268,-3.68476157990725,-3.7820010598056,-3.89882705842842,-3.24340401293495,-3.13666536416945
"CEBPA",-2.53756663799093,-1.25310958908499,0.29914371316908,-1.39796899876167,-2.55413973154258,-0.625697260192289,-2.18552637699537,-1.25590174847764,-1.84840996078237,-2.82186159202059,-1.60165122159487,-2.10477643500399,-1.55755240421259,-2.42554413833851,-2.24701363175999,-2.44051976327237,-1.56112508455882,-2.48533342993134,-2.35584915428049,-1.35017359931591,-1.67826030625017,-1.42567706264857,-0.892532913848882,-2.6003931932634,-1.23645799265201
"CEBPB",-0.182798828934498,-0.132510791182481,0.670223081507887,0.131779094964362,-1.41491378906327,1.46727202987721,-1.15498546488598,0.468003265783076,-0.243144120181028,-1.9974317480637,0.140095741359341,-1.31189151419363,-0.566263951498295,-1.13767748901139,-0.866169192007386,-1.16493307029468,0.149913974982722,-0.61612805682838,-0.705287241906283,-0.657259120092438,0.0828363907720299,-0.146901736321524,0.0208638092819089,-0.517298086347378,-0.166119952547631
