NAME	Neuroendocrine.cells	NK.cells	T.cells	Myeloid.cells	B.cells	Fibroblasts	Stromal.other.cells	RBCs.cells	Schwann.cells	Plasma.cells	pDC.cells	Endothelial.cells
RPS27L	165.498756417395	0.975526603292004	16.6774959028551	11.145057358158	2.13814050036604	3.50788675841303	0.187087293782028	0.0801802687637264	1.16261389707403	0.160360537527453	0.213814050036604	1.26283923302869
RAB8B	16.3434114496729	0.768394242319044	4.98454004147832	2.19159401287519	0.641442150109811	0.307357696927618	0.0334084453182193	0	0.187087293782028	0	0.046771823445507	0.167042226591097
APH1B	6.9155481808714	0.0801802687637264	0.721622418873537	1.71719408935647	0.146997159400165	0.17372391565474	0.0133633781272877	0	0.0267267562545755	0	0.0267267562545755	0.046771823445507
CA12	0.260585873482111	0	0.00668168906364386	0.0267267562545755	0	0.20713236097296	0.0935436468910141	0	0	0	0	0
USP3	31.3705301538079	0.193768982845672	4.10923877414098	1.44992652681072	0.427628100073207	0.213814050036604	0.046771823445507	0.00668168906364386	0.0334084453182193	0.0133633781272877	0.046771823445507	0.113588714081946
USP3-AS1	6.03356522447041	0	0.240540806291179	0.133633781272877	0.0400901343818632	0.0334084453182193	0.0133633781272877	0	0	0.00668168906364386	0	0.0133633781272877
FBXL22	2.40540806291179	0	0.300676007863974	0.0200450671909316	0.0400901343818632	0.0133633781272877	0	0	0	0	0	0
HERC1	52.8722055606139	0.400901343818632	4.6304105211052	1.59692368621088	0.534535125091509	0.461036545391427	0.0334084453182193	0	0.140315470336521	0.00668168906364386	0.100225335954658	0.407583032882276
DAPK2	0.821847754828195	0.113588714081946	0.574625259473372	0.133633781272877	0.00668168906364386	0.0400901343818632	0	0	0.0668168906364386	0	0.0267267562545755	0.0534535125091509
SNX1	21.7622612802881	0.17372391565474	2.56576860043924	1.49001666119258	0.461036545391427	0.447673167264139	0.0668168906364386	0	0.0734985797000825	0.00668168906364386	0.0801802687637263	0.153678848463809
SNX22	2.03791516441138	0.0133633781272877	0.354129520373125	0.0734985797000825	0.507808368836934	0.00668168906364386	0	0	0	0.00668168906364386	0.00668168906364386	0
PPIB	324.877085652492	1.63701382059275	22.4972470772889	13.6506907570244	1.77064760186562	6.73514257615301	0.280630940673042	0.046771823445507	2.59249535669382	0.721622418873537	1.08243362831031	2.18491232381154
CSNK1G1	13.677417513279	0.0868619578273702	1.04234349392844	0.354129520373125	0.167042226591097	0.106907025018302	0.0133633781272877	0	0.0668168906364386	0	0.0200450671909316	0.0734985797000825
TRIP4	18.1741942531113	0.0935436468910141	0.828529443891839	0.514490057900577	0.113588714081946	0.113588714081946	0	0	0.0267267562545755	0.00668168906364386	0.0334084453182193	0.0801802687637264
ZNF609	45.4421673218419	0.126952092209233	1.95773489564765	0.868619578273702	0.200450671909316	0.354129520373125	0.00668168906364386	0	0.126952092209233	0	0.0334084453182193	0.146997159400165
OAZ2	104.902518299209	0.280630940673042	3.62147547249497	6.52132852611641	0.721622418873537	2.08468698785689	0.0534535125091509	0.0801802687637264	0.260585873482111	0.0334084453182193	0.113588714081946	0.861937889210058
RBPMS2	0.601352015727948	0	0	0	0	0.167042226591097	0	0	0	0	0	0.0200450671909316
PIF1	11.5793671472948	0.0534535125091509	0.327402764118549	0.327402764118549	0.106907025018302	0.0734985797000825	0	0.00668168906364386	0.0133633781272877	0.00668168906364386	0	0.0133633781272877
PLEKHO2	3.76847263189514	0.106907025018302	0.50112667977329	1.83746449250206	0.0935436468910141	0.0400901343818632	0	0	0.0400901343818632	0	0.0200450671909316	0.247222495354823
ANKDD1A	9.34100131097412	0.0133633781272877	0.12027040314559	0.17372391565474	0.0200450671909316	0.046771823445507	0	0	0.0200450671909316	0	0	0.0334084453182193
SPG21	52.7118450230864	0.347447831309481	4.75068092425079	4.06914863975911	0.928754779846497	0.50112667977329	0.0400901343818632	0.0334084453182193	0.133633781272877	0.0267267562545755	0.100225335954658	0.307357696927618
MTFMT	13.1495640772511	0.046771823445507	0.922073090782853	0.327402764118549	0.0734985797000825	0.106907025018302	0.0133633781272877	0.0133633781272877	0.046771823445507	0.00668168906364386	0.00668168906364386	0.0534535125091509
SLC51B	0.273949251609398	0	0.0133633781272877	0	0	0	0	0	0	0	0	0.00668168906364386
RASL12	0.046771823445507	0	0.0133633781272877	0.00668168906364386	0	0.3808562766277	0	0	0.0267267562545755	0	0	0
UBAP1L	6.69505244177115	0.00668168906364386	0.200450671909316	0.0868619578273702	0.00668168906364386	0.046771823445507	0	0	0.00668168906364386	0	0	0.0200450671909316
PDCD7	73.1244051125184	0.387537965691344	4.51014011795961	0.741667486064469	0.641442150109811	0.427628100073207	0.0267267562545755	0.0200450671909316	0.160360537527453	0.0200450671909316	0.0734985797000825	0.17372391565474
CLPX	22.1497992459794	0.153678848463809	1.67042226591097	0.681532284491674	0.267267562545755	0.320721075054905	0.0200450671909316	0	0.0534535125091509	0.0133633781272877	0.0267267562545755	0.0668168906364386
CILP	0.287312629736686	0	0.00668168906364386	0.0267267562545755	0.00668168906364386	0.160360537527453	0	0	0	0	0	0
PARP16	12.2208092974046	0.0400901343818632	0.781757620446332	0.193768982845672	0.0935436468910141	0.106907025018302	0	0.00668168906364386	0.0267267562545755	0	0.00668168906364386	0.0133633781272877
RNU5A-1	0.17372391565474	0.00668168906364386	0.0200450671909316	0.0267267562545755	0	0	0	0	0	0	0	0
RNU5B-1	0.0935436468910141	0	0.0200450671909316	0	0	0	0	0	0	0	0	0
IGDCC3	9.10714219374658	0	0.0133633781272877	0	0.00668168906364386	0.00668168906364386	0	0	0	0	0	0.0133633781272877
IGDCC4	2.63258549107568	0	0.0133633781272877	0	0	0.113588714081946	0	0.00668168906364386	0.00668168906364386	0	0	0.00668168906364386
DPP8	19.5238954439674	0.227177428163891	1.75060253467469	0.681532284491674	0.314039385991262	0.20713236097296	0.0133633781272877	0	0.106907025018302	0.00668168906364386	0.0668168906364386	0.180405604718384
SLC24A1	2.20495739100247	0.00668168906364386	0.17372391565474	0.0734985797000825	0.0133633781272877	0.0267267562545755	0.00668168906364386	0	0.00668168906364386	0	0	0.0935436468910141
DENND4A	28.3704517642318	0.307357696927618	3.20721075054905	1.06238856111937	0.7617125532554	0.193768982845672	0.0868619578273702	0	0.0734985797000825	0.0200450671909316	0.12027040314559	0.160360537527453
RAB11A	121.399608597345	0.320721075054905	8.31870288423661	2.67267562545755	1.05570687205573	0.915391401719209	0.0334084453182193	0.0334084453182193	0.220495739100247	0	0.126952092209233	1.08911531737395
MEGF11	2.05796023160231	0.0200450671909316	0.12027040314559	0.046771823445507	0.0133633781272877	0.0133633781272877	0	0	0.00668168906364386	0	0	0.00668168906364386
DIS3L	11.6795924832495	0.0668168906364386	1.18265896426496	0.407583032882276	0.140315470336521	0.167042226591097	0.00668168906364386	0.00668168906364386	0.0534535125091509	0.00668168906364386	0	0.0734985797000825
TIPIN	20.0584305690589	0.0734985797000825	1.02898011580115	0.474399923518714	0.0868619578273702	0.153678848463809	0	0.00668168906364386	0.0267267562545755	0.00668168906364386	0.0200450671909316	0.0334084453182193
MAP2K1	20.1853826612681	0.240540806291179	4.51014011795961	1.75728422373834	0.461036545391427	0.574625259473372	0.0668168906364386	0.0200450671909316	0.0601352015727948	0.0200450671909316	0.106907025018302	0.160360537527453
RPL35AP32	0.140315470336521	0	0.0133633781272877	0.00668168906364386	0	0	0	0	0	0	0	0
SNAPC5	29.6332909972605	0.167042226591097	2.43881650823001	1.01561673767387	0.220495739100247	0.260585873482111	0.0133633781272877	0.00668168906364386	0.126952092209233	0.0200450671909316	0.0601352015727948	0.0668168906364386
RPL4	1631.64842427464	5.93333988851575	183.626178847061	27.6020575219128	20.9671402817144	9.3677280672287	0.327402764118549	1.2494758549014	2.38536299572086	0.527853436027865	3.30075439744007	1.93100813939308
ZWILCH	21.6286274990152	0.0334084453182193	0.527853436027865	0.20713236097296	0.0935436468910141	0.0668168906364386	0	0.00668168906364386	0.0267267562545755	0	0	0.0267267562545755
LCTL	0.815166065764551	0.00668168906364386	0.0801802687637264	0.00668168906364386	0	0.00668168906364386	0	0	0.0334084453182193	0	0	0
SMAD6	0.126952092209233	0	0	0.0400901343818632	0.00668168906364386	0.0267267562545755	0	0	0.00668168906364386	0	0	0.17372391565474
SMAD3	3.56134027092218	0.113588714081946	1.2027040314559	0.394219654754988	0.367492898500412	0.17372391565474	0	0	0.00668168906364386	0	0.0267267562545755	0.0601352015727948
AAGAB	12.1539924067682	0.12027040314559	1.02229842673751	0.354129520373125	0.0801802687637264	0.12027040314559	0	0.0133633781272877	0.0267267562545755	0.0133633781272877	0.0267267562545755	0.0734985797000825
IQCH	3.14039385991262	0.0133633781272877	0.0601352015727948	0.0534535125091509	0.0133633781272877	0.0200450671909316	0	0	0.00668168906364386	0	0	0.0334084453182193
IQCH-AS1	3.73506418657692	0.0133633781272877	0.314039385991262	0.140315470336521	0.046771823445507	0	0	0	0.0133633781272877	0	0.0133633781272877	0.0200450671909316
C15orf61	58.9057707850843	0.287312629736686	3.16043892710355	0.821847754828195	0.260585873482111	0.334084453182193	0.0200450671909316	0.0400901343818632	0.0734985797000825	0.0267267562545755	0.00668168906364386	0.100225335954658
MAP2K5	22.2099344475522	0.0133633781272877	1.02898011580115	0.394219654754988	0.0734985797000825	0.187087293782028	0.00668168906364386	0	0.0601352015727948	0.00668168906364386	0.0200450671909316	0.146997159400165
HNRNPA1P5	0.0935436468910141	0	0	0	0	0.00668168906364386	0	0	0	0	0	0
SKOR1	0.654805528237099	0	0.00668168906364386	0	0	0.00668168906364386	0	0	0	0	0	0.0133633781272877
PIAS1	56.6674049487636	0.220495739100247	3.12703048178533	1.99782503002952	0.514490057900577	0.360811209436769	0.0601352015727948	0.0601352015727948	0.0868619578273702	0.0534535125091509	0.0601352015727948	0.146997159400165
